"configuration_guide","chapter","section","summary steps","Steps","Command or Action","Purpose"
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Static NAT Mapping with HSRP","Configuring NAT Static Mapping Support for HSRP - Enabling Static NAT for HSRP","1. enable
2. configure terminal
3. ip nat inside source static local-ip global-ip redundancy group-name
4. ip classless
5. ip route prefix mask interface-type interface-number
6. no ip http server
7. end
8. show ip nat translations [ verbose ]","Step 6","no ip http server
Example:
Device(config)# no ip http server","Enables the HTTP server on your IP system."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Static NAT Mapping with HSRP","Configuring NAT Static Mapping Support for HSRP - Enabling Static NAT for HSRP","1. enable
2. configure terminal
3. ip nat inside source static local-ip global-ip redundancy group-name
4. ip classless
5. ip route prefix mask interface-type interface-number
6. no ip http server
7. end
8. show ip nat translations [ verbose ]","Step 7","end
Example:
Device(config)# end","Exits global configuration mode and returns to privileged EXEC mode."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Static NAT Mapping with HSRP","Configuring NAT Static Mapping Support for HSRP - Enabling Static NAT for HSRP","1. enable
2. configure terminal
3. ip nat inside source static local-ip global-ip redundancy group-name
4. ip classless
5. ip route prefix mask interface-type interface-number
6. no ip http server
7. end
8. show ip nat translations [ verbose ]","Step 8","show ip nat translations [ verbose ]
Example:
Device# show ip nat translations verbose","(Optional) Displays active NAT translations. Note Static mapping for HSRP with outside-source NAT, via command ip nat outside source static local-ip global-ip redundancy group-name is not supported."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - VRF-Aware Dynamic NAT Mapping with HSRP","Enabling HSRP for VRF-Aware Dynamic NAT","1. enable
2. configure terminal
3. track object-number interface type number { ip | ipv6 | line-protocol }
4. exit
5. interface type number
6. ip nat inside
7. ip address ip-address mask
8. standby group-number ip [ ip-address ]
9. standby use-bia
10. standby group-number priority priority
11. standby group-number preempt [ delay ]
12. standby group-number track object-number [ decrement priority-decrement ]
13. exit
14. ip nat pool pool-name start-ip end-ip netmask netmask
15. access-list standard-access-list permit ip-address mask
16. ip nat inside source list list-name pool pool-name [ overload ]
17. end","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password if prompted."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - VRF-Aware Dynamic NAT Mapping with HSRP","Enabling HSRP for VRF-Aware Dynamic NAT","1. enable
2. configure terminal
3. track object-number interface type number { ip | ipv6 | line-protocol }
4. exit
5. interface type number
6. ip nat inside
7. ip address ip-address mask
8. standby group-number ip [ ip-address ]
9. standby use-bia
10. standby group-number priority priority
11. standby group-number preempt [ delay ]
12. standby group-number track object-number [ decrement priority-decrement ]
13. exit
14. ip nat pool pool-name start-ip end-ip netmask netmask
15. access-list standard-access-list permit ip-address mask
16. ip nat inside source list list-name pool pool-name [ overload ]
17. end","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - VRF-Aware Dynamic NAT Mapping with HSRP","Enabling HSRP for VRF-Aware Dynamic NAT","1. enable
2. configure terminal
3. track object-number interface type number { ip | ipv6 | line-protocol }
4. exit
5. interface type number
6. ip nat inside
7. ip address ip-address mask
8. standby group-number ip [ ip-address ]
9. standby use-bia
10. standby group-number priority priority
11. standby group-number preempt [ delay ]
12. standby group-number track object-number [ decrement priority-decrement ]
13. exit
14. ip nat pool pool-name start-ip end-ip netmask netmask
15. access-list standard-access-list permit ip-address mask
16. ip nat inside source list list-name pool pool-name [ overload ]
17. end","Step 3","track object-number interface type number { ip | ipv6 | line-protocol }
Example:
Device(config)# track 10 interface gigabitethernet 0/0/0 line-protocol","Configures an interface to be tracked where the Gateway Load Balancing Protocol (GLBP) weighting changes based on the state of the interface"
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - VRF-Aware Dynamic NAT Mapping with HSRP","Enabling HSRP for VRF-Aware Dynamic NAT","1. enable
2. configure terminal
3. track object-number interface type number { ip | ipv6 | line-protocol }
4. exit
5. interface type number
6. ip nat inside
7. ip address ip-address mask
8. standby group-number ip [ ip-address ]
9. standby use-bia
10. standby group-number priority priority
11. standby group-number preempt [ delay ]
12. standby group-number track object-number [ decrement priority-decrement ]
13. exit
14. ip nat pool pool-name start-ip end-ip netmask netmask
15. access-list standard-access-list permit ip-address mask
16. ip nat inside source list list-name pool pool-name [ overload ]
17. end","Step 4","exit
Example:
Device(config-track)# exit","Exits tracking configuration mode and returns to global configuration mode."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - VRF-Aware Dynamic NAT Mapping with HSRP","Enabling HSRP for VRF-Aware Dynamic NAT","1. enable
2. configure terminal
3. track object-number interface type number { ip | ipv6 | line-protocol }
4. exit
5. interface type number
6. ip nat inside
7. ip address ip-address mask
8. standby group-number ip [ ip-address ]
9. standby use-bia
10. standby group-number priority priority
11. standby group-number preempt [ delay ]
12. standby group-number track object-number [ decrement priority-decrement ]
13. exit
14. ip nat pool pool-name start-ip end-ip netmask netmask
15. access-list standard-access-list permit ip-address mask
16. ip nat inside source list list-name pool pool-name [ overload ]
17. end","Step 5","interface type number
Example:
Device(config)# interface gigabitethernet 1/2/1","Configures an interface and enters interface configuration mode."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - VRF-Aware Dynamic NAT Mapping with HSRP","Enabling HSRP for VRF-Aware Dynamic NAT","1. enable
2. configure terminal
3. track object-number interface type number { ip | ipv6 | line-protocol }
4. exit
5. interface type number
6. ip nat inside
7. ip address ip-address mask
8. standby group-number ip [ ip-address ]
9. standby use-bia
10. standby group-number priority priority
11. standby group-number preempt [ delay ]
12. standby group-number track object-number [ decrement priority-decrement ]
13. exit
14. ip nat pool pool-name start-ip end-ip netmask netmask
15. access-list standard-access-list permit ip-address mask
16. ip nat inside source list list-name pool pool-name [ overload ]
17. end","Step 6","ip nat inside
Example:
Device(config-f)# ip nat inside","Connects the interface to the inside network, which is subject to Network Address Translation (NAT)."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - VRF-Aware Dynamic NAT Mapping with HSRP","Enabling HSRP for VRF-Aware Dynamic NAT","1. enable
2. configure terminal
3. track object-number interface type number { ip | ipv6 | line-protocol }
4. exit
5. interface type number
6. ip nat inside
7. ip address ip-address mask
8. standby group-number ip [ ip-address ]
9. standby use-bia
10. standby group-number priority priority
11. standby group-number preempt [ delay ]
12. standby group-number track object-number [ decrement priority-decrement ]
13. exit
14. ip nat pool pool-name start-ip end-ip netmask netmask
15. access-list standard-access-list permit ip-address mask
16. ip nat inside source list list-name pool pool-name [ overload ]
17. end","Step 7","ip address ip-address mask
Example:
Device(config-if)# ip address 192.0.0.2 255.0.0.0","Sets a primary or secondary IP address for an interface."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - VRF-Aware Dynamic NAT Mapping with HSRP","Enabling HSRP for VRF-Aware Dynamic NAT","1. enable
2. configure terminal
3. track object-number interface type number { ip | ipv6 | line-protocol }
4. exit
5. interface type number
6. ip nat inside
7. ip address ip-address mask
8. standby group-number ip [ ip-address ]
9. standby use-bia
10. standby group-number priority priority
11. standby group-number preempt [ delay ]
12. standby group-number track object-number [ decrement priority-decrement ]
13. exit
14. ip nat pool pool-name start-ip end-ip netmask netmask
15. access-list standard-access-list permit ip-address mask
16. ip nat inside source list list-name pool pool-name [ overload ]
17. end","Step 8","standby group-number ip [ ip-address ]
Example:
Device(config-if)# standby 1 ip 192.0.0.1","Activates the Hot Standby Router Protocol (HSRP)."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - VRF-Aware Dynamic NAT Mapping with HSRP","Enabling HSRP for VRF-Aware Dynamic NAT","1. enable
2. configure terminal
3. track object-number interface type number { ip | ipv6 | line-protocol }
4. exit
5. interface type number
6. ip nat inside
7. ip address ip-address mask
8. standby group-number ip [ ip-address ]
9. standby use-bia
10. standby group-number priority priority
11. standby group-number preempt [ delay ]
12. standby group-number track object-number [ decrement priority-decrement ]
13. exit
14. ip nat pool pool-name start-ip end-ip netmask netmask
15. access-list standard-access-list permit ip-address mask
16. ip nat inside source list list-name pool pool-name [ overload ]
17. end","Step 9","standby use-bia
Example:
Device(config-if)# standby use-bia","Configures HSRP to use the burned-in address of the interface as its virtual MAC address, instead of the preassigned MAC address or the functional address."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - VRF-Aware Dynamic NAT Mapping with HSRP","Enabling HSRP for VRF-Aware Dynamic NAT","1. enable
2. configure terminal
3. track object-number interface type number { ip | ipv6 | line-protocol }
4. exit
5. interface type number
6. ip nat inside
7. ip address ip-address mask
8. standby group-number ip [ ip-address ]
9. standby use-bia
10. standby group-number priority priority
11. standby group-number preempt [ delay ]
12. standby group-number track object-number [ decrement priority-decrement ]
13. exit
14. ip nat pool pool-name start-ip end-ip netmask netmask
15. access-list standard-access-list permit ip-address mask
16. ip nat inside source list list-name pool pool-name [ overload ]
17. end","Step 10","standby group-number priority priority
Example:
Device(config-if)# standby 1 priority 120","Configures the HSRP priority. The priority range is from 1 to 255, where 1 denotes the lowest priority and 255 denotes the highest priority. The default priority value is 100. The device in the HSRP group with the highest priority value becomes the active device."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - VRF-Aware Dynamic NAT Mapping with HSRP","Enabling HSRP for VRF-Aware Dynamic NAT","1. enable
2. configure terminal
3. track object-number interface type number { ip | ipv6 | line-protocol }
4. exit
5. interface type number
6. ip nat inside
7. ip address ip-address mask
8. standby group-number ip [ ip-address ]
9. standby use-bia
10. standby group-number priority priority
11. standby group-number preempt [ delay ]
12. standby group-number track object-number [ decrement priority-decrement ]
13. exit
14. ip nat pool pool-name start-ip end-ip netmask netmask
15. access-list standard-access-list permit ip-address mask
16. ip nat inside source list list-name pool pool-name [ overload ]
17. end","Step 11","standby group-number preempt [ delay ]
Example:
Device(config-if)# standby 1 preempt","Configures HSRP preemption and preemption delay. If you configure this command, when a local device has an HSRP priority higher than the current active device, the local device assumes control as the active device. If preemption is not configured, the local device assumes control as the active device only if it receives information indicating no device is in the active state (acting as the designated device)."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - VRF-Aware Dynamic NAT Mapping with HSRP","Enabling HSRP for VRF-Aware Dynamic NAT","1. enable
2. configure terminal
3. track object-number interface type number { ip | ipv6 | line-protocol }
4. exit
5. interface type number
6. ip nat inside
7. ip address ip-address mask
8. standby group-number ip [ ip-address ]
9. standby use-bia
10. standby group-number priority priority
11. standby group-number preempt [ delay ]
12. standby group-number track object-number [ decrement priority-decrement ]
13. exit
14. ip nat pool pool-name start-ip end-ip netmask netmask
15. access-list standard-access-list permit ip-address mask
16. ip nat inside source list list-name pool pool-name [ overload ]
17. end","Step 12","standby group-number track object-number [ decrement priority-decrement ]
Example:
Device(config-if)# standby 1 track 10 decrement 15","Configure HSRP to track an object, and change the HSRP priority on the basis of the state of the object. When a tracked object goes down, the HSRP priority decreases by 10. If an object is not tracked, state changes do not affect the priority."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - VRF-Aware Dynamic NAT Mapping with HSRP","Enabling HSRP for VRF-Aware Dynamic NAT","1. enable
2. configure terminal
3. track object-number interface type number { ip | ipv6 | line-protocol }
4. exit
5. interface type number
6. ip nat inside
7. ip address ip-address mask
8. standby group-number ip [ ip-address ]
9. standby use-bia
10. standby group-number priority priority
11. standby group-number preempt [ delay ]
12. standby group-number track object-number [ decrement priority-decrement ]
13. exit
14. ip nat pool pool-name start-ip end-ip netmask netmask
15. access-list standard-access-list permit ip-address mask
16. ip nat inside source list list-name pool pool-name [ overload ]
17. end","Step 13","exit
Example:
Device(config-if)# exit","Exits interface configuration mode and returns to global configuration mode."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - VRF-Aware Dynamic NAT Mapping with HSRP","Enabling HSRP for VRF-Aware Dynamic NAT","1. enable
2. configure terminal
3. track object-number interface type number { ip | ipv6 | line-protocol }
4. exit
5. interface type number
6. ip nat inside
7. ip address ip-address mask
8. standby group-number ip [ ip-address ]
9. standby use-bia
10. standby group-number priority priority
11. standby group-number preempt [ delay ]
12. standby group-number track object-number [ decrement priority-decrement ]
13. exit
14. ip nat pool pool-name start-ip end-ip netmask netmask
15. access-list standard-access-list permit ip-address mask
16. ip nat inside source list list-name pool pool-name [ overload ]
17. end","Step 14","ip nat pool pool-name start-ip end-ip netmask netmask
Example:
Device(config)# ip nat pool pool1 10.1.1.10 10.1.1.52 netmask 255.255.255.0","Defines a pool of IP addresses for Network Address Translation (NAT) translations."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - VRF-Aware Dynamic NAT Mapping with HSRP","Enabling HSRP for VRF-Aware Dynamic NAT","1. enable
2. configure terminal
3. track object-number interface type number { ip | ipv6 | line-protocol }
4. exit
5. interface type number
6. ip nat inside
7. ip address ip-address mask
8. standby group-number ip [ ip-address ]
9. standby use-bia
10. standby group-number priority priority
11. standby group-number preempt [ delay ]
12. standby group-number track object-number [ decrement priority-decrement ]
13. exit
14. ip nat pool pool-name start-ip end-ip netmask netmask
15. access-list standard-access-list permit ip-address mask
16. ip nat inside source list list-name pool pool-name [ overload ]
17. end","Step 15","access-list standard-access-list permit ip-address mask
Example:
Device(config)# acces-list 1 permit 190.0.0.0 0.255.255.255",""
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - VRF-Aware Dynamic NAT Mapping with HSRP","Enabling HSRP for VRF-Aware Dynamic NAT","1. enable
2. configure terminal
3. track object-number interface type number { ip | ipv6 | line-protocol }
4. exit
5. interface type number
6. ip nat inside
7. ip address ip-address mask
8. standby group-number ip [ ip-address ]
9. standby use-bia
10. standby group-number priority priority
11. standby group-number preempt [ delay ]
12. standby group-number track object-number [ decrement priority-decrement ]
13. exit
14. ip nat pool pool-name start-ip end-ip netmask netmask
15. access-list standard-access-list permit ip-address mask
16. ip nat inside source list list-name pool pool-name [ overload ]
17. end","Step 16","ip nat inside source list list-name pool pool-name [ overload ]
Example:
Device(config)# ip nat inside source list list1 pool pool1 overload","Enables NAT of the inside source address. When overloading is configured, it enables the device to use one global address for many local addresses. The TCP or UDP port number of each inside host distinguishes between the multiple conversations using the same local IP address."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - VRF-Aware Dynamic NAT Mapping with HSRP","Enabling HSRP for VRF-Aware Dynamic NAT","1. enable
2. configure terminal
3. track object-number interface type number { ip | ipv6 | line-protocol }
4. exit
5. interface type number
6. ip nat inside
7. ip address ip-address mask
8. standby group-number ip [ ip-address ]
9. standby use-bia
10. standby group-number priority priority
11. standby group-number preempt [ delay ]
12. standby group-number track object-number [ decrement priority-decrement ]
13. exit
14. ip nat pool pool-name start-ip end-ip netmask netmask
15. access-list standard-access-list permit ip-address mask
16. ip nat inside source list list-name pool pool-name [ overload ]
17. end","Step 17","end
Example:
Device(config)# end","Exits global configuration mode and returns to privileged EXEC mode."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Configuring the Control Interface Protocol","1. enable
2. configure terminal
3. redundancy
4. mode none
5. application redundancy
6. protocol number
7. name instance-name
8. timers hellotime [ msec ] number holdtime [ msec ] number
9. authentication { text string | md5 key-string [ 0 | 7 ] key | md5 key-chain key-chain-name }
10. bfd
11. end","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password if prompted."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Configuring the Control Interface Protocol","1. enable
2. configure terminal
3. redundancy
4. mode none
5. application redundancy
6. protocol number
7. name instance-name
8. timers hellotime [ msec ] number holdtime [ msec ] number
9. authentication { text string | md5 key-string [ 0 | 7 ] key | md5 key-chain key-chain-name }
10. bfd
11. end","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Configuring the Control Interface Protocol","1. enable
2. configure terminal
3. redundancy
4. mode none
5. application redundancy
6. protocol number
7. name instance-name
8. timers hellotime [ msec ] number holdtime [ msec ] number
9. authentication { text string | md5 key-string [ 0 | 7 ] key | md5 key-chain key-chain-name }
10. bfd
11. end","Step 3","redundancy
Example:
Device(config)# redundancy","Enters redundancy configuration mode."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Configuring the Control Interface Protocol","1. enable
2. configure terminal
3. redundancy
4. mode none
5. application redundancy
6. protocol number
7. name instance-name
8. timers hellotime [ msec ] number holdtime [ msec ] number
9. authentication { text string | md5 key-string [ 0 | 7 ] key | md5 key-chain key-chain-name }
10. bfd
11. end","Step 4","mode none
Example:
Device(config-red)# mode none","Sets the redundancy mode to none, which is required for this feature."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Configuring the Control Interface Protocol","1. enable
2. configure terminal
3. redundancy
4. mode none
5. application redundancy
6. protocol number
7. name instance-name
8. timers hellotime [ msec ] number holdtime [ msec ] number
9. authentication { text string | md5 key-string [ 0 | 7 ] key | md5 key-chain key-chain-name }
10. bfd
11. end","Step 5","application redundancy
Example:
Device(config-red)# application redundancy","Enters redundancy application configuration mode."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Configuring the Control Interface Protocol","1. enable
2. configure terminal
3. redundancy
4. mode none
5. application redundancy
6. protocol number
7. name instance-name
8. timers hellotime [ msec ] number holdtime [ msec ] number
9. authentication { text string | md5 key-string [ 0 | 7 ] key | md5 key-chain key-chain-name }
10. bfd
11. end","Step 6","protocol number
Example:
Device(config-red-app)# protocol 4","Specifies the protocol instance that will be attached to a control interface, and enters redundancy application protocol configuration mode."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Configuring the Control Interface Protocol","1. enable
2. configure terminal
3. redundancy
4. mode none
5. application redundancy
6. protocol number
7. name instance-name
8. timers hellotime [ msec ] number holdtime [ msec ] number
9. authentication { text string | md5 key-string [ 0 | 7 ] key | md5 key-chain key-chain-name }
10. bfd
11. end","Step 7","name instance-name
Example:
Device(config-red-app-prot)# name rg1","(Optional) Specifies an optional alias for the protocol instance."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Configuring the Control Interface Protocol","1. enable
2. configure terminal
3. redundancy
4. mode none
5. application redundancy
6. protocol number
7. name instance-name
8. timers hellotime [ msec ] number holdtime [ msec ] number
9. authentication { text string | md5 key-string [ 0 | 7 ] key | md5 key-chain key-chain-name }
10. bfd
11. end","Step 8","timers hellotime [ msec ] number holdtime [ msec ] number
Example:
Device(config-red-app-prot)# timers hellotime 3 holdtime 10","Specifies the interval between hello messages sent and the time before a device is declared to be down. The default time for hello time is 3 seconds and for hold time is 10 seconds."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Configuring the Control Interface Protocol","1. enable
2. configure terminal
3. redundancy
4. mode none
5. application redundancy
6. protocol number
7. name instance-name
8. timers hellotime [ msec ] number holdtime [ msec ] number
9. authentication { text string | md5 key-string [ 0 | 7 ] key | md5 key-chain key-chain-name }
10. bfd
11. end","Step 9","authentication { text string | md5 key-string [ 0 | 7 ] key | md5 key-chain key-chain-name }
Example:
Device(config-red-app-prot)# authentication text password","Specifies authentication information."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Configuring the Control Interface Protocol","1. enable
2. configure terminal
3. redundancy
4. mode none
5. application redundancy
6. protocol number
7. name instance-name
8. timers hellotime [ msec ] number holdtime [ msec ] number
9. authentication { text string | md5 key-string [ 0 | 7 ] key | md5 key-chain key-chain-name }
10. bfd
11. end","Step 10","bfd
Example:
Device(config-red-app-prot)# bfd","(Optional) Enables the integration of the failover protocol running on the control interface with the BFD protocol to achieve failure detection in milliseconds. BFD is enabled by default."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Configuring the Control Interface Protocol","1. enable
2. configure terminal
3. redundancy
4. mode none
5. application redundancy
6. protocol number
7. name instance-name
8. timers hellotime [ msec ] number holdtime [ msec ] number
9. authentication { text string | md5 key-string [ 0 | 7 ] key | md5 key-chain key-chain-name }
10. bfd
11. end","Step 11","end
Example:
Device(config-red-app-prot)# end","Exits redundancy application protocol configuration mode and enters privileged EXEC mode."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Tracking a Redundant Traffic Interface","1. enable
2. configure terminal
3. track object-number interface type number { line-protocol | ip | routing | ipv6 routing }
4. redundancy
5. application redundancy
6. group { 1 | 2 }
7. track object-number [ decrement number | shutdown ]
8. end","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password if prompted."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Tracking a Redundant Traffic Interface","1. enable
2. configure terminal
3. track object-number interface type number { line-protocol | ip | routing | ipv6 routing }
4. redundancy
5. application redundancy
6. group { 1 | 2 }
7. track object-number [ decrement number | shutdown ]
8. end","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Tracking a Redundant Traffic Interface","1. enable
2. configure terminal
3. track object-number interface type number { line-protocol | ip | routing | ipv6 routing }
4. redundancy
5. application redundancy
6. group { 1 | 2 }
7. track object-number [ decrement number | shutdown ]
8. end","Step 3","track object-number interface type number { line-protocol | ip | routing | ipv6 routing }
Example:
Device(config)# track 44 interface Gi0/1/5 line-protocol0","Tracks the interface and enters tracking configuration mode of a router. Tracks the state of the interface line protocol before failing over to a redundant traffic interface in the group."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Tracking a Redundant Traffic Interface","1. enable
2. configure terminal
3. track object-number interface type number { line-protocol | ip | routing | ipv6 routing }
4. redundancy
5. application redundancy
6. group { 1 | 2 }
7. track object-number [ decrement number | shutdown ]
8. end","Step 4","redundancy
Example:
Device(config-track)# redundancy","Enters redundancy configuration mode."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Tracking a Redundant Traffic Interface","1. enable
2. configure terminal
3. track object-number interface type number { line-protocol | ip | routing | ipv6 routing }
4. redundancy
5. application redundancy
6. group { 1 | 2 }
7. track object-number [ decrement number | shutdown ]
8. end","Step 5","application redundancy
Example:
Device(config-trac-red)# application redundancy","Enters redundancy application configuration mode."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Tracking a Redundant Traffic Interface","1. enable
2. configure terminal
3. track object-number interface type number { line-protocol | ip | routing | ipv6 routing }
4. redundancy
5. application redundancy
6. group { 1 | 2 }
7. track object-number [ decrement number | shutdown ]
8. end","Step 6","group { 1 | 2 }
Example:
Device(config-track-red-app)# group 1","Specifies the redundancy group instance and enters redundancy application group configuration mode."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Tracking a Redundant Traffic Interface","1. enable
2. configure terminal
3. track object-number interface type number { line-protocol | ip | routing | ipv6 routing }
4. redundancy
5. application redundancy
6. group { 1 | 2 }
7. track object-number [ decrement number | shutdown ]
8. end","Step 7","track object-number [ decrement number | shutdown ]
Example:
Device(config-trac-red-app-grp)# track 44 decrement 20","Specifies the amount by which the priority of a redundancy group will be decremented if an event occurs. You can track multiple objects that influence the priority of the redundancy group."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Tracking a Redundant Traffic Interface","1. enable
2. configure terminal
3. track object-number interface type number { line-protocol | ip | routing | ipv6 routing }
4. redundancy
5. application redundancy
6. group { 1 | 2 }
7. track object-number [ decrement number | shutdown ]
8. end","Step 8","end
Example:
Device(config-if)# end","Exits interface configuration mode and enters privileged EXEC mode."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Configuring a Redundancy Group","1. enable
2. configure terminal
3. redundancy
4. application redundancy
5. group { 1 | 2 }
6. name group-name
7. preempt
8. priority number failover-threshold number
9. timers delay seconds [ reload seconds ]
10. control interface-name protocol instance
11. data interface-name
12. To create another redundancy group, repeat Steps 3 through 12.
13. end
14. configure terminal
15. interface type number
16. redundancy group number ip address exclusive [ decrement number ]
17. redundancy rii number
18. end","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password if prompted."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Configuring a Redundancy Group","1. enable
2. configure terminal
3. redundancy
4. application redundancy
5. group { 1 | 2 }
6. name group-name
7. preempt
8. priority number failover-threshold number
9. timers delay seconds [ reload seconds ]
10. control interface-name protocol instance
11. data interface-name
12. To create another redundancy group, repeat Steps 3 through 12.
13. end
14. configure terminal
15. interface type number
16. redundancy group number ip address exclusive [ decrement number ]
17. redundancy rii number
18. end","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Configuring a Redundancy Group","1. enable
2. configure terminal
3. redundancy
4. application redundancy
5. group { 1 | 2 }
6. name group-name
7. preempt
8. priority number failover-threshold number
9. timers delay seconds [ reload seconds ]
10. control interface-name protocol instance
11. data interface-name
12. To create another redundancy group, repeat Steps 3 through 12.
13. end
14. configure terminal
15. interface type number
16. redundancy group number ip address exclusive [ decrement number ]
17. redundancy rii number
18. end","Step 3","redundancy
Example:
Device(config)# redundancy","Enters redundancy configuration mode."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Configuring a Redundancy Group","1. enable
2. configure terminal
3. redundancy
4. application redundancy
5. group { 1 | 2 }
6. name group-name
7. preempt
8. priority number failover-threshold number
9. timers delay seconds [ reload seconds ]
10. control interface-name protocol instance
11. data interface-name
12. To create another redundancy group, repeat Steps 3 through 12.
13. end
14. configure terminal
15. interface type number
16. redundancy group number ip address exclusive [ decrement number ]
17. redundancy rii number
18. end","Step 4","application redundancy
Example:
Device(config-red)# application redundancy","Enters redundancy application configuration mode."
"IP Addressing Configuration Guide, Cisco IOS XE 17.x","NAT - Configuring Stateful Interchassis Redundancy","Configuring a Redundancy Group","1. enable
2. configure terminal
3. redundancy
4. application redundancy
5. group { 1 | 2 }
6. name group-name
7. preempt
8. priority number failover-threshold number
9. timers delay seconds [ reload seconds ]
10. control interface-name protocol instance
11. data interface-name
12. To create another redundancy group, repeat Steps 3 through 12.
13. end
14. configure terminal
15. interface type number
16. redundancy group number ip address exclusive [ decrement number ]
17. redundancy rii number
18. end","Step 5","group { 1 | 2 }
Example:
Device(config-red-app)# group 1","Specifies the redundancy group instance and enters redundancy application group configuration mode."
