"configuration_guide","chapter","section","summary steps","Steps","Command or Action","Purpose"
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing an RT with a VPN Distinguisher Attribute - Procedure","","Step 7","set extcomm-list extcommunity-name delete
Example:
Device(config-route-map)# set extcomm-list 4 delete","Deletes the RT from routes that are in the specified extended community list. For this example, RTs are deleted from routes that are in extended community list 4."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing an RT with a VPN Distinguisher Attribute - Procedure","","Step 8","set extcommunity vpn-distinguisher id
Example:
Device(config-route-map)# set extcommunity vpn-distinguisher 111:100","For the routes that are permitted by the route map, sets the specified VPN distinguisher. For this example, routes that match extended community 4 have their VPN distinguisher set to 111:100."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing an RT with a VPN Distinguisher Attribute - Procedure","","Step 9","exit
Example:
Device(config-route-map)# exit","Exits route-map configuration mode and enters global configuration mode."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing an RT with a VPN Distinguisher Attribute - Procedure","","Step 10","route-map map-name { permit | deny } [ sequence-number ]
Example:
Device(config)# route-map vpn-id-map1 permit 20","(Optional) Configures a route map entry that permits routes. This example configures a route map entry that permits other routes not subject to the RT-to-VPN distinguisher mapping. If you do not perform this step, all other routes are subject to an implicit deny."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing an RT with a VPN Distinguisher Attribute - Procedure","","Step 11","exit
Example:
Device(config-route-map)# exit","Exits route-map configuration mode and enters global configuration mode."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing an RT with a VPN Distinguisher Attribute - Procedure","","Step 12","router bgp as-number
Example:
Device(config)# router bgp 2000","Enters router configuration mode and creates a BGP routing process."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing an RT with a VPN Distinguisher Attribute - Procedure","","Step 13","neighbor ip-address remote-as autonomous-system-number
Example:
Device(config-router)# neighbor 192.168.101.1 remote-as 2000","Specifies that the neighbor belongs to the autonomous system."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing an RT with a VPN Distinguisher Attribute - Procedure","","Step 14","address-family vpnv4
Example:
Device(config-router)# address-family vpnv4","Enters address family configuration mode to configure BGP peers to accept address family-specific configurations."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing an RT with a VPN Distinguisher Attribute - Procedure","","Step 15","neighbor ip-address activate
Example:
Device(config-router-af)# neighbor 192.168.101.1 activate","Activates the specified neighbor."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing an RT with a VPN Distinguisher Attribute - Procedure","","Step 16","neighbor ip-address route-map map-name out
Example:
Device(config-router-af)# neighbor 192.168.101.1 route-map vpn-id-map1 out","Applies the specified outgoing route map to the specified neighbor."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing an RT with a VPN Distinguisher Attribute - Procedure","","Step 17","exit-address-family
Example:
Device(config-router-af)# exit-address-family","Exits address family configuration mode and enters privileged EXEC mode."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing a VPN Distinguisher Attribute with an RT - Procedure","","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password if prompted."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing a VPN Distinguisher Attribute with an RT - Procedure","","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing a VPN Distinguisher Attribute with an RT - Procedure","","Step 3","ip extcommunity-list expanded-list { permit | deny } vpn-distinguisher id
Example:
Device(config)# ip extcommunity-list 51 permit vpn-distinguisher 111:100","Configures an IP extended community list to configure Virtual Private Network (VPN) route filtering, such that routes with the specified VPN distinguisher are in the extended community list. This example permits routes having VPN distinguisher 111:110 into the extended community list 51."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing a VPN Distinguisher Attribute with an RT - Procedure","","Step 4","exit
Example:
Device(config-extcomm-list)# exit","Exits the configuration mode and enters the next higher configuration mode."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing a VPN Distinguisher Attribute with an RT - Procedure","","Step 5","route-map map-tag { permit | deny } [ sequence-number ]
Example:
Device(config)# route-map vpn-id-rewrite-map1 permit 10","Configures a route map that permits or denies the routes that are allowed by the subsequent match command. This example permits the routes that are allowed by the subsequent match command."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing a VPN Distinguisher Attribute with an RT - Procedure","","Step 6","match extcommunity extended-community-list-name
Example:
Device(config-route-map)# match extcommunity 51","Matches on the specified community list. For this example, routes that match the extended community list 51 (which was configured in Step 3) are subject to the subsequent set commands."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing a VPN Distinguisher Attribute with an RT - Procedure","","Step 7","set extcomm-list extcommunity-name delete
Example:
Device(config-route-map)# set extcomm-list 51 delete","Deletes the VPN distinguisher from routes that are in the specified extended community list. For this example, VPN distinguishers are deleted from routes that are in extended community list 51."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing a VPN Distinguisher Attribute with an RT - Procedure","","Step 8","set extcommunity rt value additive
Example:
Device(config-route-map)# set extcommunity rt 101:1 additive","Sets the routes that are permitted by the route map with the specified RT. For this example, routes that match extended community 51 have their RT set to 101:1. The additive keyword causes the RT to be added to the RT list without replacing any RTs."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing a VPN Distinguisher Attribute with an RT - Procedure","","Step 9","exit
Example:
Device(config-route-map)# exit","Exits route-map configuration mode and enters global configuration mode."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing a VPN Distinguisher Attribute with an RT - Procedure","","Step 10","route-map map-tag { permit | deny } [ sequence-number ]
Example:
Device(config)# route-map vpn-id-rewrite-map1 permit 20","(Optional) Configures a route map entry that permits routes. This example configures a route map entry that permits other routes not subject to the VPN distinguisher-to-RT mapping. If you do not perform this step, all other routes are subject to an implicit deny."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing a VPN Distinguisher Attribute with an RT - Procedure","","Step 11","exit
Example:
Device(config-route-map)# exit","Exits route-map configuration mode and enters global configuration mode."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing a VPN Distinguisher Attribute with an RT - Procedure","","Step 12","router bgp as-number
Example:
Device(config)# router bgp 3000","Enters router configuration mode and creates a BGP routing process."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing a VPN Distinguisher Attribute with an RT - Procedure","","Step 13","neighbor ip-address remote-as autonomous-system-number
Example:
Device(config-router)# neighbor 192.168.0.81 remote-as 3000","Specifies that the neighbor belongs to the autonomous system."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing a VPN Distinguisher Attribute with an RT - Procedure","","Step 14","address-family vpnv4
Example:
Device(config-router-af)# address-family vpnv4","Enters address family configuration mode to configure BGP peers to accept address family-specific configurations."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing a VPN Distinguisher Attribute with an RT - Procedure","","Step 15","neighbor ip-address activate
Example:
Device(config-router-af)# neighbor 192.168.0.81 activate","Activates the specified neighbor."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing a VPN Distinguisher Attribute with an RT - Procedure","","Step 16","neighbor ip-address route-map map-name in
Example:
Device(config-router-af)# neighbor 192.168.0.81 route-map vpn-id-rewrite-map1 in","Applies the specified outgoing route map to the specified neighbor."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-VPN Distinguisher Attribute","Replacing a VPN Distinguisher Attribute with an RT - Procedure","","Step 17","exit-address-family
Example:
Device(config-router-af)# exit-address-family","Exits address family configuration mode and enters privileged EXEC mode."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing an RT with a Range of RTs - Procedure","","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password if prompted."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing an RT with a Range of RTs - Procedure","","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing an RT with a Range of RTs - Procedure","","Step 3","ip extcommunity-list expanded-list { permit | deny }
Example:
Device(config)# ip extcommunity-list 22 permit","Configures an IP extended community list to configure Virtual Private Network (VPN) route filtering."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing an RT with a Range of RTs - Procedure","","Step 4","exit
Example:
Device(config-extcomm-list)# exit","Exits the configuration mode and enters the next higher configuration mode."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing an RT with a Range of RTs - Procedure","","Step 5","route-map map-tag { permit | deny } [ sequence-number ]
Example:
Device(config)# route-map rt-mapping permit 10","Configures a route map that permits or denies the routes that are allowed by the subsequent match command. This example permits the routes that are allowed by the subsequent match command."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing an RT with a Range of RTs - Procedure","","Step 6","match extcommunity extended-community-list-name
Example:
Device(config-route-map)# match extcommunity 22","Matches on the specified community list. For this example, routes that match the extended community list 22 (which was configured in Step 3) are subject to the subsequent set commands."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing an RT with a Range of RTs - Procedure","","Step 7","set extcomm-list extcommunity-name delete
Example:
Device(config-route-map)# set extcomm-list 22 delete","Deletes the RT from routes that are in the specified extended community list. For this example, RTs are deleted from routes that are in extended community list 22."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing an RT with a Range of RTs - Procedure","","Step 8","set extcommunity rt range start-value end-value
Example:
Device(config-route-map)# set extcommunity rt range 500:1 500:9","For the routes that are permitted by the route map, sets the specified RT range of extended community attributes, inclusive. For this example, routes that match extended community 22 have their RT extended community attribute values set to 500:1, 500:2, 500:3, 500:4, 500:5, 500:6, 500:7, 500:8, and 500:9."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing an RT with a Range of RTs - Procedure","","Step 9","exit
Example:
Device(config-route-map)# exit","Exits route-map configuration mode and enters global configuration mode."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing an RT with a Range of RTs - Procedure","","Step 10","route-map map-tag { permit | deny } [ sequence-number ]
Example:
Device(config)# route-map rt-mapping permit 20","(Optional) Configures a route map entry that permits routes. This example configures a route map entry that permits other routes not subject to the RT-to-RT range mapping. If you do not perform this step, all other routes are subject to an implicit deny."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing an RT with a Range of RTs - Procedure","","Step 11","exit
Example:
Device(config-route-map)# exit","Exits route-map configuration mode and enters global configuration mode."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing an RT with a Range of RTs - Procedure","","Step 12","router bgp as-number
Example:
Device(config)# router bgp 3000","Enters router configuration mode and creates a BGP routing process."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing an RT with a Range of RTs - Procedure","","Step 13","neighbor ip-address remote-as autonomous-system-number
Example:
Device(config-router)# neighbor 192.168.103.1 remote-as 3000","Specifies that the neighbor belongs to the autonomous system."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing an RT with a Range of RTs - Procedure","","Step 14","address-family vpnv4
Example:
Device(config-router)# address-family vpnv4","Enters address family configuration mode to configure BGP peers to accept address family-specific configurations."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing an RT with a Range of RTs - Procedure","","Step 15","neighbor ip-address activate
Example:
Device(config-router-af)# neighbor 192.168.103.1 activate","Activates the specified neighbor."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing an RT with a Range of RTs - Procedure","","Step 16","neighbor ip-address route-map map-tag out
Example:
Device(config-router-af)# neighbor 192.168.103.1 route-map rt-mapping out","Applies the specified outgoing route map to the specified neighbor."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing an RT with a Range of RTs - Procedure","","Step 17","exit-address-family
Example:
Device(config-router-af)# exit-address-family","Exits address family configuration mode and enters privileged EXEC mode."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing a Range of RTs with an RT - Procedure","","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password if prompted."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing a Range of RTs with an RT - Procedure","","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing a Range of RTs with an RT - Procedure","","Step 3","ip extcommunity-list expanded-list { permit | deny } rt reg-exp
Example:
Device(config)# ip extcommunity-list 128 permit rt 500:[1-9]","Configures an IP extended community list to configure Virtual Private Network (VPN) route filtering, such that routes with the specified RT range are in the extended community list. This example permits routes having RTs in the range 500:1 to 500:9 into the extended community list 128."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing a Range of RTs with an RT - Procedure","","Step 4","exit
Example:
Device(config-extcomm-list)# exit","Exits the configuration mode and enters the next higher configuration mode."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing a Range of RTs with an RT - Procedure","","Step 5","route-map map-tag { permit | deny } [ sequence-number ]
Example:
Device(config)# route-map rtmap2 permit 10","Configures a route map that permits or denies the routes that are allowed by the subsequent match command. This example permits the routes that are allowed by the subsequent match command."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing a Range of RTs with an RT - Procedure","","Step 6","match extcommunity extended-community-list-name
Example:
Device(config-route-map)# match extcommunity 128","Matches on the specified community list. In this example, routes that match the extended community list 128 (which was configured in Step 3) are subject to the subsequent set commands."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing a Range of RTs with an RT - Procedure","","Step 7","set extcomm-list extcommunity-name delete
Example:
Device(config-route-map)# set extcomm-list 128 delete","Deletes the RTs in the range from routes that are in the specified extended community list. In this example, RTs in the range are deleted from routes that are in extended community list 128."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing a Range of RTs with an RT - Procedure","","Step 8","set extcommunity rt value additive
Example:
Device(config-route-map)# set extcommunity rt 400:1 additive","Sets the routes that are permitted by the route map with the specified RT. In this example, routes that match extended community 128 have their RT set to 400:1. The additive keyword causes the RT to be added to the RT list without replacing any RTs."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing a Range of RTs with an RT - Procedure","","Step 9","exit
Example:
Device(config-route-map)# exit","Exits route-map configuration mode and enters global configuration mode."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing a Range of RTs with an RT - Procedure","","Step 10","route-map map-tag { permit | deny } [ sequence-number ]
Example:
Device(config)# route-map rtmap2 permit 20","(Optional) Configures a route map entry that permits routes. This example configures a route map entry that permits other routes not subject to the RT-range-to-RT mapping. If you do not perform this step, all other routes are subject to an implicit deny."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing a Range of RTs with an RT - Procedure","","Step 11","exit
Example:
Device(config-route-map)# exit","Exits route-map configuration mode and enters global configuration mode."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing a Range of RTs with an RT - Procedure","","Step 12","router bgp as-number
Example:
Device(config)# router bgp 4000","Enters router configuration mode and creates a BGP routing process."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing a Range of RTs with an RT - Procedure","","Step 13","neighbor ip-address remote-as autonomous-system-number
Example:
Device(config-router)# neighbor 192.168.0.50 remote-as 4000","Specifies that the neighbor belongs to the autonomous system."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing a Range of RTs with an RT - Procedure","","Step 14","address-family vpnv4
Example:
Device(config-router-af)# address-family vpnv4","Enters address family configuration mode to configure BGP peers to accept address-family-specific configurations."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing a Range of RTs with an RT - Procedure","","Step 15","neighbor ip-address activate
Example:
Device(config-router-af)# neighbor 192.168.0.50 activate","Activates the specified neighbor."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing a Range of RTs with an RT - Procedure","","Step 16","neighbor ip-address route-map map-tag in
Example:
Device(config-router-af)# neighbor 192.168.0.50 route-map rtmap2 in","Applies the specified incoming route map to the specified neighbor."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP-RT and VPN Distinguisher Attribute Rewrite Wildcard","Replacing a Range of RTs with an RT - Procedure","","Step 17","exit-address-family
Example:
Device(config-router-af)# exit-address-family","Exits address family configuration mode and enters privileged EXEC mode."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP Support for 4-byte ASN","Configuring a BGP Routing Process and Peers Using 4-Byte Autonomous System Numbers - Procedure","","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password if prompted."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP Support for 4-byte ASN","Configuring a BGP Routing Process and Peers Using 4-Byte Autonomous System Numbers - Procedure","","Step 2","configure terminal
Example:
Device# configure terminal","Enters global configuration mode."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP Support for 4-byte ASN","Configuring a BGP Routing Process and Peers Using 4-Byte Autonomous System Numbers - Procedure","","Step 3","router bgp autonomous-system-number
Example:
Device(config)# router bgp 65538","Enters router configuration mode for the specified routing process. In this example, the 4-byte AS number, 65538, is defined in asplain notation."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP Support for 4-byte ASN","Configuring a BGP Routing Process and Peers Using 4-Byte Autonomous System Numbers - Procedure","","Step 4","neighbor ip-address remote-as autonomous-system-number
Example:
Device(config-router)# neighbor 192.168.1.2 remote-as 65536","Adds the IP address of the neighbor in the specified AS to the IPv4 multiprotocol BGP neighbor table of the local device. In this example, the 4-byte AS number, 65536, is defined in asplain notation."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP Support for 4-byte ASN","Configuring a BGP Routing Process and Peers Using 4-Byte Autonomous System Numbers - Procedure","","Step 5","Repeat Step 4 to define other BGP neighbors, as required.","--"
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP Support for 4-byte ASN","Configuring a BGP Routing Process and Peers Using 4-Byte Autonomous System Numbers - Procedure","","Step 6","address-family ipv4 [ unicast | multicast | vrf vrf-name ]
Example:
Device(config-router)# address-family ipv4 unicast","Specifies the IPv4 address family and enters address family configuration mode. The unicast keyword specifies the IPv4 unicast address family. By default, the device is placed in configuration mode for the IPv4 unicast address family if the unicast keyword is not specified with the address-family ipv4 command. The multicast keyword specifies IPv4 multicast address prefixes. The vrf keyword and vrf-name argument specify the name of the virtual routing and forwarding (VRF) instance to associate with subsequent IPv4 address family configuration mode commands."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP Support for 4-byte ASN","Configuring a BGP Routing Process and Peers Using 4-Byte Autonomous System Numbers - Procedure","","Step 7","neighbor ip-address activate
Example:
Device(config-router-af)# neighbor 192.168.1.2 activate","Enables the neighbor to exchange prefixes for the IPv4 unicast address family with the local device."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP Support for 4-byte ASN","Configuring a BGP Routing Process and Peers Using 4-Byte Autonomous System Numbers - Procedure","","Step 8","Repeat Step 7 to activate other BGP neighbors, as required.","--"
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP Support for 4-byte ASN","Configuring a BGP Routing Process and Peers Using 4-Byte Autonomous System Numbers - Procedure","","Step 9","network network-number [ mask network-mask ] [ route-map route-map-name ]
Example:
Device(config-router-af)# network 172.17.1.0 mask 255.255.255.0","(Optional) Specifies a network as local to this AS and adds it to the BGP routing table. For exterior protocols the network command controls which networks are advertised. Interior protocols use the network command to determine where to send updates."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP Support for 4-byte ASN","Configuring a BGP Routing Process and Peers Using 4-Byte Autonomous System Numbers - Procedure","","Step 10","end
Example:
Device(config-router-af)# end","Exits address family configuration mode and returns to privileged EXEC mode."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP Support for 4-byte ASN","Configuring a BGP Routing Process and Peers Using 4-Byte Autonomous System Numbers - Procedure","","Step 11","show ip bgp [ network ] [ network-mask ]
Example:
Device# show ip bgp 10.1.1.0","(Optional) Displays the entries in the BGP routing table. Note Only the syntax applicable to this task is used in this example. For more details, see the Cisco IOS IP Routing: BGP Command Reference ."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP Support for 4-byte ASN","Configuring a BGP Routing Process and Peers Using 4-Byte Autonomous System Numbers - Procedure","","Step 12","show ip bgp summary
Example:
Device# show ip bgp summary","(Optional) Displays the status of all BGP connections."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP Support for 4-byte ASN","Modifying the Default Output and Regular Expression Match Format for 4-Byte Autonomous System Numbers - Procedure","","Step 1","enable
Example:
Device> enable","Enables privileged EXEC mode. Enter your password if prompted."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP Support for 4-byte ASN","Modifying the Default Output and Regular Expression Match Format for 4-Byte Autonomous System Numbers - Procedure","","Step 2","show ip bgp summary
Example:
Device# show ip bgp summary","Displays the status of all Border Gateway Protocol (BGP) connections."
"IP Routing Configuration Guide, Cisco IOS XE Dublin 17.12.x (Catalyst 9300 Switches)","Configuring BGP Support for 4-byte ASN","Modifying the Default Output and Regular Expression Match Format for 4-Byte Autonomous System Numbers - Procedure","","Step 3","configure terminal
Example:
Device# configure terminal","Enters global configuration mode."
