entry,requirement,ground_truth
100,Configure the R3-R4 link: assign IPs on both ends and enable the interfaces.,"R3# configure terminal
R3(config)# interface Ethernet0/1
R3(config-if)# ip address 10.0.34.1 255.255.255.0
R3(config-if)# no shutdown
R3(config-if)# end

R4# configure terminal
R4(config)# interface Ethernet0/2
R4(config-if)# ip address 10.0.34.2 255.255.255.0
R4(config-if)# no shutdown
R4(config-if)# end"
101,Configure BGP process 65001 on R1 and establish an eBGP peering with R2 using AS 65002.,"R1# configure terminal
R1(config)# router bgp 65001
R1(config-router)# neighbor 10.0.12.2 remote-as 65002
R1(config-router)# end"
102,Advertise the 10.0.1.0/24 network into BGP on R1.,"R1# configure terminal
R1(config)# router bgp 65001
R1(config-router)# network 10.0.1.0 mask 255.255.255.0
R1(config-router)# end"
103,Configure BGP on R2 (AS 65002) with eBGP peers toward R1 (AS 65001) and R3 (AS 65003).,"R2# configure terminal
R2(config)# router bgp 65002
R2(config-router)# neighbor 10.0.12.1 remote-as 65001
R2(config-router)# neighbor 10.0.23.2 remote-as 65003
R2(config-router)# end"
104,Set the BGP router-id to 1.1.1.1 on R1.,"R1# configure terminal
R1(config)# router bgp 65001
R1(config-router)# bgp router-id 1.1.1.1
R1(config-router)# end"
105,"Configure an iBGP session between R1 and R4, both in AS 65001, using their loopback 0 addresses as update-source.","R1# configure terminal
R1(config)# router bgp 65001
R1(config-router)# neighbor 44.44.44.44 remote-as 65001
R1(config-router)# neighbor 44.44.44.44 update-source Loopback0
R1(config-router)# end

R4# configure terminal
R4(config)# router bgp 65001
R4(config-router)# neighbor 11.11.11.11 remote-as 65001
R4(config-router)# neighbor 11.11.11.11 update-source Loopback0
R4(config-router)# end"
106,"Apply a route-map named SET_LOCAL_PREF to the BGP neighbor on R2 facing R1, setting local preference to 200 for all inbound prefixes.","R2# configure terminal
R2(config)# route-map SET_LOCAL_PREF permit 10
R2(config-route-map)# set local-preference 200
R2(config-route-map)# exit
R2(config)# router bgp 65002
R2(config-router)# neighbor 10.0.12.1 route-map SET_LOCAL_PREF in
R2(config-router)# end"
107,Configure BGP soft reconfiguration inbound on R1 for the peer connecting to R2.,"R1# configure terminal
R1(config)# router bgp 65001
R1(config-router)# neighbor 10.0.12.2 soft-reconfiguration inbound
R1(config-router)# end"
108,Set the BGP timers to keepalive 10 and hold-time 30 on R3 for its eBGP peer toward R2.,"R3# configure terminal
R3(config)# router bgp 65003
R3(config-router)# neighbor 10.0.23.1 timers 10 30
R3(config-router)# end"
109,"Configure a BGP prefix-list named ALLOW_10 on R1 to permit only 10.0.0.0/8 prefixes, and apply it outbound to the peer facing R2.","R1# configure terminal
R1(config)# ip prefix-list ALLOW_10 seq 10 permit 10.0.0.0/8 le 32
R1(config)# router bgp 65001
R1(config-router)# neighbor 10.0.12.2 prefix-list ALLOW_10 out
R1(config-router)# end"
110,Enable BGP next-hop-self on R1 for its iBGP peer R4 so that R4 can resolve BGP routes.,"R1# configure terminal
R1(config)# router bgp 65001
R1(config-router)# neighbor 44.44.44.44 next-hop-self
R1(config-router)# end"
111,"Configure a BGP community on R2 that tags routes received from R1 with community 65001:100, using a route-map named TAG_R1.","R2# configure terminal
R2(config)# route-map TAG_R1 permit 10
R2(config-route-map)# set community 65001:100
R2(config-route-map)# exit
R2(config)# router bgp 65002
R2(config-router)# neighbor 10.0.12.1 route-map TAG_R1 in
R2(config-router)# neighbor 10.0.12.1 send-community
R2(config-router)# end"
112,Advertise a default route into BGP on R2 toward R3.,"R2# configure terminal
R2(config)# router bgp 65002
R2(config-router)# neighbor 10.0.23.2 default-originate
R2(config-router)# end"
113,Configure BGP on R4 (AS 65001) and set the MED to 50 for all prefixes advertised to R2.,"R4# configure terminal
R4(config)# route-map SET_MED permit 10
R4(config-route-map)# set metric 50
R4(config-route-map)# exit
R4(config)# router bgp 65001
R4(config-router)# neighbor 10.0.24.1 remote-as 65002
R4(config-router)# neighbor 10.0.24.1 route-map SET_MED out
R4(config-router)# end"
114,Remove the eBGP session between R2 and R3 and clear BGP neighbors on R2.,"R2# configure terminal
R2(config)# router bgp 65002
R2(config-router)# no neighbor 10.0.23.2 remote-as 65003
R2(config-router)# end
R2# clear ip bgp 10.0.23.2"
115,Configure BGP aggregate address 10.0.0.0/8 on R1 with the summary-only keyword to suppress more-specific prefixes.,"R1# configure terminal
R1(config)# router bgp 65001
R1(config-router)# aggregate-address 10.0.0.0 255.0.0.0 summary-only
R1(config-router)# end"
116,Enable EIGRP autonomous system 100 on R1 and advertise all directly connected networks.,"R1# configure terminal
R1(config)# router eigrp 100
R1(config-router)# network 0.0.0.0
R1(config-router)# no auto-summary
R1(config-router)# end"
117,"Configure EIGRP 100 on R2 and R3, advertising all directly connected networks and disabling auto-summary.","R2# configure terminal
R2(config)# router eigrp 100
R2(config-router)# network 0.0.0.0
R2(config-router)# no auto-summary
R2(config-router)# end

R3# configure terminal
R3(config)# router eigrp 100
R3(config-router)# network 0.0.0.0
R3(config-router)# no auto-summary
R3(config-router)# end"
118,Set the EIGRP hello interval to 5 seconds and hold time to 15 seconds on R1's interface connecting to R2.,"R1# configure terminal
R1(config)# interface Ethernet0/1
R1(config-if)# ip hello-interval eigrp 100 5
R1(config-if)# ip hold-time eigrp 100 15
R1(config-if)# end"
119,Configure EIGRP MD5 authentication on the link between R1 and R4 using key-chain EIGRP_KEY with key 1 and password eigrppass.,"R1# configure terminal
R1(config)# key chain EIGRP_KEY
R1(config-keychain)# key 1
R1(config-keychain-key)# key-string eigrppass
R1(config-keychain-key)# exit
R1(config)# interface Ethernet0/2
R1(config-if)# ip authentication mode eigrp 100 md5
R1(config-if)# ip authentication key-chain eigrp 100 EIGRP_KEY
R1(config-if)# end

R4# configure terminal
R4(config)# key chain EIGRP_KEY
R4(config-keychain)# key 1
R4(config-keychain-key)# key-string eigrppass
R4(config-keychain-key)# exit
R4(config)# interface Ethernet0/0
R4(config-if)# ip authentication mode eigrp 100 md5
R4(config-if)# ip authentication key-chain eigrp 100 EIGRP_KEY
R4(config-if)# end"
120,Set the EIGRP bandwidth percent to 50 on R2's interface toward R4 to limit EIGRP traffic.,"R2# configure terminal
R2(config)# interface Ethernet0/2
R2(config-if)# ip bandwidth-percent eigrp 100 50
R2(config-if)# end"
121,Configure a passive interface in EIGRP 100 on R3 for the interface connecting to SW2.,"R3# configure terminal
R3(config)# router eigrp 100
R3(config-router)# passive-interface Ethernet0/2
R3(config-router)# end"
122,Set the EIGRP variance to 2 on R1 so that unequal-cost load balancing is enabled.,"R1# configure terminal
R1(config)# router eigrp 100
R1(config-router)# variance 2
R1(config-router)# end"
123,"Configure a stub router for EIGRP 100 on R4, advertising only connected and summary routes.","R4# configure terminal
R4(config)# router eigrp 100
R4(config-router)# eigrp stub connected summary
R4(config-router)# end"
124,Set the EIGRP router-id to 4.4.4.4 on R4 for autonomous system 100.,"R4# configure terminal
R4(config)# router eigrp 100
R4(config-router)# eigrp router-id 4.4.4.4
R4(config-router)# end"
125,Remove EIGRP process 100 from R3 and R4.,"R3# configure terminal
R3(config)# no router eigrp 100
R3(config)# end

R4# configure terminal
R4(config)# no router eigrp 100
R4(config)# end"
126,Redistribute OSPF process 1 into EIGRP 100 on R2 with a seed metric of 10000 1 255 1 1500.,"R2# configure terminal
R2(config)# router eigrp 100
R2(config-router)# redistribute ospf 1 metric 10000 1 255 1 1500
R2(config-router)# end"
127,Redistribute EIGRP 100 into OSPF process 1 on R2 as external type 2 with a metric of 20.,"R2# configure terminal
R2(config)# router ospf 1
R2(config-router)# redistribute eigrp 100 subnets metric 20 metric-type 2
R2(config-router)# end"
128,"Redistribute static routes into OSPF process 1 on R1, tagging them with tag 99.","R1# configure terminal
R1(config)# router ospf 1
R1(config-router)# redistribute static subnets tag 99
R1(config-router)# end"
129,Configure mutual redistribution between OSPF 1 and BGP 65001 on R1: inject BGP routes into OSPF and OSPF routes into BGP.,"R1# configure terminal
R1(config)# router ospf 1
R1(config-router)# redistribute bgp 65001 subnets
R1(config-router)# exit
R1(config)# router bgp 65001
R1(config-router)# redistribute ospf 1
R1(config-router)# end"
130,Use a route-map named REDIST_FILTER on R3 to redistribute only the 10.0.2.0/24 prefix from connected routes into OSPF process 1.,"R3# configure terminal
R3(config)# ip prefix-list ONLY_LAN2 seq 10 permit 10.0.2.0/24
R3(config)# route-map REDIST_FILTER permit 10
R3(config-route-map)# match ip address prefix-list ONLY_LAN2
R3(config-route-map)# exit
R3(config)# router ospf 1
R3(config-router)# redistribute connected subnets route-map REDIST_FILTER
R3(config-router)# end"
131,Redistribute connected routes into EIGRP 100 on R1 so that the LAN network behind SW1 is reachable via EIGRP.,"R1# configure terminal
R1(config)# router eigrp 100
R1(config-router)# redistribute connected metric 10000 1 255 1 1500
R1(config-router)# end"
132,"Configure R4 to redistribute BGP 65001 routes into EIGRP 100, filtering with a route-map named BGP_TO_EIGRP that permits only prefixes in the 10.0.0.0/8 range.","R4# configure terminal
R4(config)# ip prefix-list PRIV10 seq 10 permit 10.0.0.0/8 le 32
R4(config)# route-map BGP_TO_EIGRP permit 10
R4(config-route-map)# match ip address prefix-list PRIV10
R4(config-route-map)# exit
R4(config)# router eigrp 100
R4(config-router)# redistribute bgp 65001 metric 10000 1 255 1 1500 route-map BGP_TO_EIGRP
R4(config-router)# end"
133,"On R2, set an administrative distance of 200 for EIGRP external routes to prefer OSPF paths.","R2# configure terminal
R2(config)# router eigrp 100
R2(config-router)# distance eigrp 90 200
R2(config-router)# end"
134,Configure a distribute-list on R3 using prefix-list BLOCK_DEFAULT to prevent the default route from being redistributed into OSPF process 1.,"R3# configure terminal
R3(config)# ip prefix-list BLOCK_DEFAULT seq 5 deny 0.0.0.0/0
R3(config)# ip prefix-list BLOCK_DEFAULT seq 10 permit 0.0.0.0/0 le 32
R3(config)# router ospf 1
R3(config-router)# distribute-list prefix BLOCK_DEFAULT out
R3(config-router)# end"
135,"Redistribute OSPF process 1 into BGP 65002 on R2, ensuring subnets are included.","R2# configure terminal
R2(config)# router bgp 65002
R2(config-router)# redistribute ospf 1
R2(config-router)# end"
136,Enable MPLS IP forwarding on R1's interface connecting to R2.,"R1# configure terminal
R1(config)# interface Ethernet0/1
R1(config-if)# mpls ip
R1(config-if)# end"
137,"Enable MPLS LDP on all core-facing interfaces of R2 (interfaces connecting to R1, R3, and R4).","R2# configure terminal
R2(config)# interface Ethernet0/0
R2(config-if)# mpls ip
R2(config-if)# exit
R2(config)# interface Ethernet0/1
R2(config-if)# mpls ip
R2(config-if)# exit
R2(config)# interface Ethernet0/2
R2(config-if)# mpls ip
R2(config-if)# end"
138,Set the MPLS LDP router-id to the loopback 0 address on R1 and force it.,"R1# configure terminal
R1(config)# mpls ldp router-id Loopback0 force
R1(config)# end"
139,Configure MPLS LDP on the link between R3 and R4 on both ends.,"R3# configure terminal
R3(config)# interface Ethernet0/1
R3(config-if)# mpls ip
R3(config-if)# end

R4# configure terminal
R4(config)# interface Ethernet0/2
R4(config-if)# mpls ip
R4(config-if)# end"
140,Set the MPLS label range on R1 from 100 to 199.,"R1# configure terminal
R1(config)# mpls label range 100 199
R1(config)# end"
141,Enable MPLS LDP session protection on R2 for all LDP neighbors.,"R2# configure terminal
R2(config)# mpls ldp session protection
R2(config)# end"
142,Configure MPLS LDP MD5 authentication between R1 and R2 using password ldppass.,"R1# configure terminal
R1(config)# mpls ldp neighbor 10.0.12.2 password ldppass
R1(config)# end

R2# configure terminal
R2(config)# mpls ldp neighbor 10.0.12.1 password ldppass
R2(config)# end"
143,Disable MPLS IP on R4's interface toward R1 and verify the change.,"R4# configure terminal
R4(config)# interface Ethernet0/0
R4(config-if)# no mpls ip
R4(config-if)# end
R4# show mpls interfaces Ethernet0/0"
144,"Configure a GRE tunnel between R1 and R3: tunnel interface 0 on R1 with source Ethernet0/1 and destination 10.0.23.2, and assign IP 172.16.13.1/30.","R1# configure terminal
R1(config)# interface Tunnel0
R1(config-if)# ip address 172.16.13.1 255.255.255.252
R1(config-if)# tunnel source Ethernet0/1
R1(config-if)# tunnel destination 10.0.23.2
R1(config-if)# end"
145,"Configure the GRE tunnel endpoint on R3: tunnel interface 0 with source Ethernet0/0 and destination 10.0.12.1, and assign IP 172.16.13.2/30.","R3# configure terminal
R3(config)# interface Tunnel0
R3(config-if)# ip address 172.16.13.2 255.255.255.252
R3(config-if)# tunnel source Ethernet0/0
R3(config-if)# tunnel destination 10.0.12.1
R3(config-if)# end"
146,"Configure an IKEv1 ISAKMP policy 10 on R1 with AES encryption, SHA hash, pre-shared authentication, group 2, and lifetime 86400.","R1# configure terminal
R1(config)# crypto isakmp policy 10
R1(config-isakmp)# encryption aes
R1(config-isakmp)# hash sha
R1(config-isakmp)# authentication pre-share
R1(config-isakmp)# group 2
R1(config-isakmp)# lifetime 86400
R1(config-isakmp)# end"
147,Set the IPSec pre-shared key for the peer at R2's address (10.0.12.2) on R1 to ipseckey.,"R1# configure terminal
R1(config)# crypto isakmp key ipseckey address 10.0.12.2
R1(config)# end"
148,Configure an IPSec transform set named TS1 on R1 using esp-aes and esp-sha-hmac.,"R1# configure terminal
R1(config)# crypto ipsec transform-set TS1 esp-aes esp-sha-hmac
R1(cfg-crypto-trans)# end"
149,"Create a crypto map named CMAP on R1, sequence 10, with peer 10.0.12.2, transform-set TS1, and match address ACL 110.","R1# configure terminal
R1(config)# access-list 110 permit ip 10.0.1.0 0.0.0.255 10.0.2.0 0.0.0.255
R1(config)# crypto map CMAP 10 ipsec-isakmp
R1(config-crypto-map)# set peer 10.0.12.2
R1(config-crypto-map)# set transform-set TS1
R1(config-crypto-map)# match address 110
R1(config-crypto-map)# end"
150,Apply the crypto map CMAP to R1's interface facing R2.,"R1# configure terminal
R1(config)# interface Ethernet0/1
R1(config-if)# crypto map CMAP
R1(config-if)# end"
151,Configure a GRE over IPSec tunnel between R2 and R4 so that traffic between their loopbacks is encrypted.,"R2# configure terminal
R2(config)# crypto isakmp policy 20
R2(config-isakmp)# encryption aes
R2(config-isakmp)# hash sha
R2(config-isakmp)# authentication pre-share
R2(config-isakmp)# group 2
R2(config-isakmp)# exit
R2(config)# crypto isakmp key tunnelkey address 10.0.24.2
R2(config)# crypto ipsec transform-set TS2 esp-aes esp-sha-hmac
R2(cfg-crypto-trans)# exit
R2(config)# interface Tunnel1
R2(config-if)# ip address 172.16.24.1 255.255.255.252
R2(config-if)# tunnel source Ethernet0/2
R2(config-if)# tunnel destination 10.0.24.2
R2(config-if)# tunnel protection ipsec profile PROF24
R2(config-if)# end

R4# configure terminal
R4(config)# crypto isakmp policy 20
R4(config-isakmp)# encryption aes
R4(config-isakmp)# hash sha
R4(config-isakmp)# authentication pre-share
R4(config-isakmp)# group 2
R4(config-isakmp)# exit
R4(config)# crypto isakmp key tunnelkey address 10.0.24.1
R4(config)# crypto ipsec transform-set TS2 esp-aes esp-sha-hmac
R4(cfg-crypto-trans)# exit
R4(config)# interface Tunnel1
R4(config-if)# ip address 172.16.24.2 255.255.255.252
R4(config-if)# tunnel source Ethernet0/1
R4(config-if)# tunnel destination 10.0.24.1
R4(config-if)# tunnel protection ipsec profile PROF24
R4(config-if)# end"
152,Set the tunnel keepalive to 10 seconds with 3 retries on R1's GRE tunnel 0.,"R1# configure terminal
R1(config)# interface Tunnel0
R1(config-if)# keepalive 10 3
R1(config-if)# end"
153,Configure a class-map named VOIP on R1 to match DSCP ef traffic.,"R1# configure terminal
R1(config)# class-map match-all VOIP
R1(config-cmap)# match dscp ef
R1(config-cmap)# end"
154,Create a policy-map named QOS_OUT on R1 that prioritizes VOIP class with a bandwidth of 512 Kbps and gives BEST_EFFORT class the remaining bandwidth.,"R1# configure terminal
R1(config)# class-map match-all BEST_EFFORT
R1(config-cmap)# match any
R1(config-cmap)# exit
R1(config)# policy-map QOS_OUT
R1(config-pmap)# class VOIP
R1(config-pmap-c)# priority 512
R1(config-pmap-c)# exit
R1(config-pmap)# class BEST_EFFORT
R1(config-pmap-c)# fair-queue
R1(config-pmap-c)# end"
155,Apply the policy-map QOS_OUT outbound on R1's interface toward R2.,"R1# configure terminal
R1(config)# interface Ethernet0/1
R1(config-if)# service-policy output QOS_OUT
R1(config-if)# end"
156,"Configure a class-map on R2 to match HTTP traffic on port 80 and HTTPS on port 443, named WEB_TRAFFIC.","R2# configure terminal
R2(config)# class-map match-any WEB_TRAFFIC
R2(config-cmap)# match protocol http
R2(config-cmap)# match protocol https
R2(config-cmap)# end"
157,Create a policy-map SHAPE_WEB on R2 that shapes WEB_TRAFFIC to 2 Mbps and applies it inbound on the interface connecting to R1.,"R2# configure terminal
R2(config)# policy-map SHAPE_WEB
R2(config-pmap)# class WEB_TRAFFIC
R2(config-pmap-c)# shape average 2000000
R2(config-pmap-c)# end
R2(config)# interface Ethernet0/0
R2(config-if)# service-policy input SHAPE_WEB
R2(config-if)# end"
158,Configure DSCP marking on R3: create a policy-map MARK_DSCP that marks VOIP class as ef and applies it inbound on the interface facing SW2.,"R3# configure terminal
R3(config)# class-map match-all VOIP
R3(config-cmap)# match dscp ef
R3(config-cmap)# exit
R3(config)# policy-map MARK_DSCP
R3(config-pmap)# class VOIP
R3(config-pmap-c)# set dscp ef
R3(config-pmap-c)# end
R3(config)# interface Ethernet0/2
R3(config-if)# service-policy input MARK_DSCP
R3(config-if)# end"
159,"Configure a policing policy on R4 that limits all traffic on the interface connecting to R1 to 1 Mbps, dropping excess traffic.","R4# configure terminal
R4(config)# class-map match-all ALL_TRAFFIC
R4(config-cmap)# match any
R4(config-cmap)# exit
R4(config)# policy-map POLICE_1M
R4(config-pmap)# class ALL_TRAFFIC
R4(config-pmap-c)# police rate 1000000 bps conform-action transmit exceed-action drop
R4(config-pmap-c)# end
R4(config)# interface Ethernet0/0
R4(config-if)# service-policy input POLICE_1M
R4(config-if)# end"
160,Remove the service-policy QOS_OUT from R1's interface toward R2.,"R1# configure terminal
R1(config)# interface Ethernet0/1
R1(config-if)# no service-policy output QOS_OUT
R1(config-if)# end"
161,Configure WRED on R2's interface facing R3 for the default class to enable congestion avoidance.,"R2# configure terminal
R2(config)# policy-map WRED_POLICY
R2(config-pmap)# class class-default
R2(config-pmap-c)# random-detect
R2(config-pmap-c)# end
R2(config)# interface Ethernet0/1
R2(config-if)# service-policy output WRED_POLICY
R2(config-if)# end"
162,"Configure OSPF multi-area: place the R1-R2 link in area 0, the R1-R4 link in area 14, and make R1 an ABR.","R1# configure terminal
R1(config)# router ospf 1
R1(config-router)# network 10.0.12.0 0.0.0.255 area 0
R1(config-router)# network 10.0.14.0 0.0.0.255 area 14
R1(config-router)# end"
163,"Configure R4 so that its interfaces are in OSPF area 14, and advertise a summary route 10.0.14.0/24 from area 14 into area 0 on R1.","R4# configure terminal
R4(config)# router ospf 1
R4(config-router)# network 10.0.14.0 0.0.0.255 area 14
R4(config-router)# end

R1# configure terminal
R1(config)# router ospf 1
R1(config-router)# area 14 range 10.0.14.0 255.255.255.0
R1(config-router)# end"
164,Configure area 14 as a stub area on R1 and R4.,"R1# configure terminal
R1(config)# router ospf 1
R1(config-router)# area 14 stub
R1(config-router)# end

R4# configure terminal
R4(config)# router ospf 1
R4(config-router)# area 14 stub
R4(config-router)# end"
165,Configure OSPF virtual-link between R1 and R3 through area 12 to extend the backbone.,"R1# configure terminal
R1(config)# router ospf 1
R1(config-router)# area 12 virtual-link 3.3.3.3
R1(config-router)# end

R3# configure terminal
R3(config)# router ospf 1
R3(config-router)# area 12 virtual-link 1.1.1.1
R3(config-router)# end"
166,Set the OSPF reference bandwidth to 1000 Mbps on all four routers so that cost calculation reflects modern link speeds.,"R1# configure terminal
R1(config)# router ospf 1
R1(config-router)# auto-cost reference-bandwidth 1000
R1(config-router)# end

R2# configure terminal
R2(config)# router ospf 1
R2(config-router)# auto-cost reference-bandwidth 1000
R2(config-router)# end

R3# configure terminal
R3(config)# router ospf 1
R3(config-router)# auto-cost reference-bandwidth 1000
R3(config-router)# end

R4# configure terminal
R4(config)# router ospf 1
R4(config-router)# auto-cost reference-bandwidth 1000
R4(config-router)# end"
167,Configure OSPF to distribute a default route on R1 using always so that all routers receive a default via OSPF.,"R1# configure terminal
R1(config)# router ospf 1
R1(config-router)# default-information originate always
R1(config-router)# end"
168,Configure OSPF graceful restart (NSF) on R2 using the cisco helper mode.,"R2# configure terminal
R2(config)# router ospf 1
R2(config-router)# nsf cisco helper
R2(config-router)# end"
169,Set the OSPF max-metric router-lsa on R3 at startup for 60 seconds to avoid black-holing traffic during boot.,"R3# configure terminal
R3(config)# router ospf 1
R3(config-router)# max-metric router-lsa on-startup 60
R3(config-router)# end"
170,Create a VRF named CUST_A on R1 with route distinguisher 65001:10.,"R1# configure terminal
R1(config)# ip vrf CUST_A
R1(config-vrf)# rd 65001:10
R1(config-vrf)# end"
171,Assign R1's interface toward SW1 to VRF CUST_A and reconfigure its IP address.,"R1# configure terminal
R1(config)# interface Ethernet0/0
R1(config-if)# ip vrf forwarding CUST_A
R1(config-if)# ip address 10.0.1.1 255.255.255.0
R1(config-if)# end"
172,Create VRF CUST_B on R3 with RD 65003:20 and assign the interface facing SW2 to it.,"R3# configure terminal
R3(config)# ip vrf CUST_B
R3(config-vrf)# rd 65003:20
R3(config-vrf)# exit
R3(config)# interface Ethernet0/2
R3(config-if)# ip vrf forwarding CUST_B
R3(config-if)# ip address 10.0.2.1 255.255.255.0
R3(config-if)# end"
173,Configure a static route within VRF CUST_A on R1 pointing to 10.0.2.0/24 via 10.0.12.2.,"R1# configure terminal
R1(config)# ip route vrf CUST_A 10.0.2.0 255.255.255.0 10.0.12.2
R1(config)# end"
174,Configure ping within VRF CUST_A from R1 to verify reachability to 10.0.1.10.,R1# ping vrf CUST_A 10.0.1.10
175,Add route-target export 65001:10 and import 65001:10 to VRF CUST_A on R1 to prepare for MPLS VPN.,"R1# configure terminal
R1(config)# ip vrf CUST_A
R1(config-vrf)# route-target export 65001:10
R1(config-vrf)# route-target import 65001:10
R1(config-vrf)# end"
176,Remove VRF CUST_B from R3 and restore the interface facing SW2 to the global routing table with its original IP.,"R3# configure terminal
R3(config)# no ip vrf CUST_B
R3(config)# interface Ethernet0/2
R3(config-if)# ip address 10.0.2.1 255.255.255.0
R3(config-if)# end"
177,Configure a time-based extended ACL on R1 that denies Telnet from 10.0.1.0/24 only during business hours (time-range BUSINESS 8:00 to 18:00 weekdays).,"R1# configure terminal
R1(config)# time-range BUSINESS
R1(config-time-range)# periodic weekdays 8:00 to 18:00
R1(config-time-range)# exit
R1(config)# ip access-list extended DENY_TELNET_BH
R1(config-ext-nacl)# deny tcp 10.0.1.0 0.0.0.255 any eq 23 time-range BUSINESS
R1(config-ext-nacl)# permit ip any any
R1(config-ext-nacl)# end"
178,"Configure a route-map named POLICY_ROUTE on R2 to forward HTTP traffic from 10.0.12.0/24 to next-hop R4 (10.0.24.2), and apply it inbound on the interface toward R1.","R2# configure terminal
R2(config)# ip access-list extended MATCH_HTTP
R2(config-ext-nacl)# permit tcp 10.0.12.0 0.0.0.255 any eq 80
R2(config-ext-nacl)# exit
R2(config)# route-map POLICY_ROUTE permit 10
R2(config-route-map)# match ip address MATCH_HTTP
R2(config-route-map)# set ip next-hop 10.0.24.2
R2(config-route-map)# exit
R2(config)# interface Ethernet0/0
R2(config-if)# ip policy route-map POLICY_ROUTE
R2(config-if)# end"
179,Configure a dynamic ACL (lock-and-key) on R4 that temporarily opens access from any host after successful Telnet authentication.,"R4# configure terminal
R4(config)# username admin privilege 15 password lockkey
R4(config)# ip access-list extended DYNAMIC_ACL
R4(config-ext-nacl)# permit tcp any host 10.0.14.2 eq 23
R4(config-ext-nacl)# dynamic TEMP_ACCESS timeout 5 permit ip any any
R4(config-ext-nacl)# exit
R4(config)# line vty 0 4
R4(config-line)# login local
R4(config-line)# autocommand access-enable host timeout 5
R4(config-line)# exit
R4(config)# interface Ethernet0/0
R4(config-if)# ip access-group DYNAMIC_ACL in
R4(config-if)# end"
180,"Configure Zone-Based Policy Firewall on R3 to inspect inside traffic toward R2 and allow return traffic.","R3# configure terminal
R3(config)# zone security INSIDE
R3(config-sec-zone)# exit
R3(config)# zone security OUTSIDE
R3(config-sec-zone)# exit
R3(config)# class-map type inspect match-any INSIDE_TRAFFIC
R3(config-cmap)# match protocol tcp
R3(config-cmap)# match protocol udp
R3(config-cmap)# exit
R3(config)# policy-map type inspect INSIDE_TO_OUTSIDE
R3(config-pmap)# class type inspect INSIDE_TRAFFIC
R3(config-pmap-c)# inspect
R3(config-pmap-c)# exit
R3(config-pmap)# exit
R3(config)# zone-pair security ZP_INSIDE_OUTSIDE source INSIDE destination OUTSIDE
R3(config-sec-zone-pair)# service-policy type inspect INSIDE_TO_OUTSIDE
R3(config-sec-zone-pair)# exit
R3(config)# interface Ethernet0/1
R3(config-if)# zone-member security INSIDE
R3(config-if)# exit
R3(config)# interface Ethernet0/0
R3(config-if)# zone-member security OUTSIDE
R3(config-if)# end"
181,"Use a route-map on R1 named SET_DSCP to set DSCP af11 for packets matching ACL 101, and apply it as a policy route on the interface toward SW1.","R1# configure terminal
R1(config)# access-list 101 permit ip 10.0.1.0 0.0.0.255 any
R1(config)# route-map SET_DSCP permit 10
R1(config-route-map)# match ip address 101
R1(config-route-map)# set ip dscp af11
R1(config-route-map)# exit
R1(config)# interface Ethernet0/0
R1(config-if)# ip policy route-map SET_DSCP
R1(config-if)# end"
182,"Configure an extended named ACL PERMIT_MGMT on R2 to allow SSH and SNMP from 10.0.12.0/24 only, deny everything else, and apply it inbound on the interface toward R4.","R2# configure terminal
R2(config)# ip access-list extended PERMIT_MGMT
R2(config-ext-nacl)# permit tcp 10.0.12.0 0.0.0.255 any eq 22
R2(config-ext-nacl)# permit udp 10.0.12.0 0.0.0.255 any eq 161
R2(config-ext-nacl)# deny ip any any
R2(config-ext-nacl)# exit
R2(config)# interface Ethernet0/2
R2(config-if)# ip access-group PERMIT_MGMT in
R2(config-if)# end"
183,"On R3, configure a route-map named PREFER_R2 that sets the BGP weight to 200 for prefixes received from R2, so that R3 prefers paths via R2.","R3# configure terminal
R3(config)# route-map PREFER_R2 permit 10
R3(config-route-map)# set weight 200
R3(config-route-map)# exit
R3(config)# router bgp 65003
R3(config-router)# neighbor 10.0.23.1 route-map PREFER_R2 in
R3(config-router)# end"
184,"Configure Zone-Based Policy Firewall on R1 to inspect TCP and UDP traffic from the interface facing SW1 and allow return traffic.","R1# configure terminal
R1(config)# zone security INSIDE
R1(config-sec-zone)# exit
R1(config)# zone security OUTSIDE
R1(config-sec-zone)# exit
R1(config)# class-map type inspect match-any TCP_UDP_TRAFFIC
R1(config-cmap)# match protocol tcp
R1(config-cmap)# match protocol udp
R1(config-cmap)# exit
R1(config)# policy-map type inspect INSIDE_TO_OUTSIDE
R1(config-pmap)# class type inspect TCP_UDP_TRAFFIC
R1(config-pmap-c)# inspect
R1(config-pmap-c)# exit
R1(config-pmap)# exit
R1(config)# zone-pair security ZP_INSIDE_OUTSIDE source INSIDE destination OUTSIDE
R1(config-sec-zone-pair)# service-policy type inspect INSIDE_TO_OUTSIDE
R1(config-sec-zone-pair)# exit
R1(config)# interface Ethernet0/0
R1(config-if)# zone-member security INSIDE
R1(config-if)# exit
R1(config)# interface Ethernet0/1
R1(config-if)# zone-member security OUTSIDE
R1(config-if)# end"
